Data,Loja,Item,Real,Previsto
2018-01-29,Loja_1,Item_1,0,10.338507191862163
2018-02-05,Loja_1,Item_1,1,16.823486966086595
2018-02-12,Loja_1,Item_1,0,21.743276889472455
2018-02-19,Loja_1,Item_1,0,22.150303578041683
2018-02-26,Loja_1,Item_1,0,17.22674554372823
2018-03-05,Loja_1,Item_1,0,9.332084800090795
2018-03-12,Loja_1,Item_1,1,2.502191831723525
2018-03-19,Loja_1,Item_1,0,-0.5482046493989476
2018-03-26,Loja_1,Item_1,0,-0.2466433472993888
2018-04-02,Loja_1,Item_1,0,0.8470519618790543
2018-04-09,Loja_1,Item_1,0,0.7453931685295195
2018-04-16,Loja_1,Item_1,4,-0.3363965562717852
2018-04-23,Loja_1,Item_1,7,-0.8859973356690422
2018-04-30,Loja_1,Item_1,5,-0.207449238226703
2018-05-07,Loja_1,Item_1,0,0.7513207980196965
2018-05-14,Loja_1,Item_1,1,0.6726477967709639
2018-05-21,Loja_1,Item_1,0,-0.4209269608181191
2018-05-28,Loja_1,Item_1,1,-1.0965245776010732
2018-06-04,Loja_1,Item_1,9,-0.1352887914457935
2018-06-11,Loja_1,Item_1,3,2.070475758229275
2018-06-18,Loja_1,Item_1,13,3.9111194416081503
2018-06-25,Loja_1,Item_1,13,4.184051795732313
2018-07-02,Loja_1,Item_1,4,3.087765727130452
2018-07-09,Loja_1,Item_1,11,1.6702490978766291
2018-07-16,Loja_1,Item_1,2,0.6668048641333294
2018-07-23,Loja_1,Item_1,17,0.139025767148954
2018-07-30,Loja_1,Item_1,9,0.0453769277742801
2018-08-06,Loja_1,Item_1,13,0.6484361816179891
2018-08-13,Loja_1,Item_1,2,2.0631566989698973
2018-08-20,Loja_1,Item_1,11,3.618975408006165
2018-08-27,Loja_1,Item_1,3,4.130827688589575
2018-01-29,Loja_1,Item_2,1,2.199346864188904
2018-02-05,Loja_1,Item_2,1,4.811789629271303
2018-02-12,Loja_1,Item_2,1,4.962466423430806
2018-02-19,Loja_1,Item_2,0,1.767072356419552
2018-02-26,Loja_1,Item_2,1,-1.8908845971254595
2018-03-05,Loja_1,Item_2,2,-2.013049302735096
2018-03-12,Loja_1,Item_2,1,2.15453208086384
2018-03-19,Loja_1,Item_2,3,6.967041222924872
2018-03-26,Loja_1,Item_2,1,8.014609549669023
2018-04-02,Loja_1,Item_2,0,4.686837059695934
2018-04-09,Loja_1,Item_2,2,0.6021877093676907
2018-04-16,Loja_1,Item_2,0,-0.5386455620374749
2018-04-23,Loja_1,Item_2,2,1.0817987538405545
2018-04-30,Loja_1,Item_2,2,2.0905252302658823
2018-05-07,Loja_1,Item_2,2,0.3108226528677088
2018-05-14,Loja_1,Item_2,4,-2.3714025480072944
2018-05-21,Loja_1,Item_2,2,-2.029779988660497
